team,elo
Spain,2225.398025768775
Argentina,2171.0784698187886
France,2136.8234448248368
England,2117.2119153259923
Colombia,2058.9062714384245
Brazil,2056.525152262874
Ecuador,2055.767045379604
Germany,2032.0475215072734
Netherlands,2025.1015283135837
Japan,2017.756215772243
Morocco,2016.0290026950388
Norway,2014.2700874831307
Portugal,2012.524598611124
Turkey,2005.752098040223
Belgium,1983.7498339611261
Mexico,1983.1520961501567
Croatia,1980.3430201066353
Switzerland,1978.617063353488
Uruguay,1974.3352550576446
Paraguay,1963.1466907110516
Australia,1926.3246663969774
Senegal,1921.1904733899685
Denmark,1920.5734335914356
Canada,1910.5283533792372
Italy,1907.8387196921992
Iran,1907.5320188816358
South Korea,1905.9523264152995
Nigeria,1898.6653030974555
Austria,1895.756290653205
Yugoslavia,1886.235416122241
Algeria,1883.2796297123184
Scotland,1882.357940168293
United States,1863.3775411330237
Russia,1858.3989286143571
Uzbekistan,1847.3735705971758
Panama,1847.1733288560313
Ukraine,1825.6735500144907
Basque Country,1822.8493836503321
Ivory Coast,1821.6909534397953
Egypt,1816.1840652943392
Czechoslovakia,1809.501306322547
Kosovo,1809.3031191043
Czech Republic,1804.9763900053335
Jersey,1803.268057024285
DR Congo,1797.3643892506984
Republic of Ireland,1797.0162856960235
Venezuela,1795.9956300023796
Poland,1795.0614990962426
Jordan,1789.3443541962254
Chile,1787.801764059245
Iraq,1784.7122720245477
Greece,1782.1343837472325
Hungary,1782.118164692053
Serbia,1774.0267755308103
Sweden,1770.0326079814076
Peru,1764.9344076928035
Wales,1764.4867962843089
Bolivia,1759.0612861476425
New Zealand,1749.1122144773337
Tunisia,1746.21195160191
Guernsey,1744.2455359715907
Slovakia,1742.0061497879442
Costa Rica,1736.793070102776
Slovenia,1725.2429397879644
Cameroon,1718.6826948199591
German DR,1713.075937938483
Mali,1710.7109558171373
Haiti,1707.2250382308935
Saudi Arabia,1705.8713348163892
Isle of Man,1705.7234156828185
Georgia,1697.5498395982013
Albania,1696.81777849777
Honduras,1693.6659762273769
Northern Cyprus,1693.1947520556564
Occitania,1687.7766869062643
Padania,1685.1181327972272
United Arab Emirates,1683.8754629631637
Bosnia and Herzegovina,1682.9179735576913
Romania,1681.7616235687008
Northern Ireland,1681.387217749007
Israel,1680.5982728755464
Catalonia,1678.5899441197355
Isle of Wight,1663.2415775668248
South Africa,1662.7265271452495
Jamaica,1660.2595261737627
Burkina Faso,1656.0258443949822
Cape Verde,1655.9001142098216
North Macedonia,1655.4183065133136
Guatemala,1652.8808887337223
Iraqi Kurdistan,1647.8124135319604
Iceland,1645.7706092151443
Ghana,1644.1972797109142
Ynys Môn,1641.874456592635
Curaçao,1639.1800074024038
Abkhazia,1631.2907053347083
Kárpátalja,1606.878013379283
Andalusia,1604.6756541007078
Palestine,1603.0151953915363
Suriname,1602.1122969447347
Finland,1601.6008028393155
Kernow,1598.1874186069822
