team,squad_value_m_eur,source
France,1530,sportingpedia
England,1310,sportingpedia
Spain,1260,sportingpedia
Portugal,1020,sportingpedia
Germany,998,sportingpedia
Brazil,912.2,sportingpedia
Netherlands,837.2,sportingpedia
Argentina,818.5,sportingpedia
Norway,601,sportingpedia
Belgium,542.9,sportingpedia
Ivory Coast,530.9,sportingpedia
Turkey,494.2,sportingpedia
Morocco,488.2,sportingpedia
Senegal,472.9,sportingpedia
United States,410,estimated
Uruguay,405.8,sportingpedia
Croatia,385.7,sportingpedia
Ecuador,376.2,sportingpedia
Switzerland,333.6,sportingpedia
Colombia,330,estimated
Japan,284.75,soccergraph
Algeria,257.6,sportingpedia
Austria,250,estimated
Ghana,230.88,sportingpedia
Sweden,220,estimated
Canada,203.05,sportingpedia
Mexico,194.6,sportingpedia
Czech Republic,190.18,sportingpedia
Paraguay,157.15,sportingpedia
Scotland,150,estimated
Bosnia and Herzegovina,149.2,sportingpedia
South Korea,142.3,sportingpedia
Egypt,130,estimated
DR Congo,100,estimated
Tunisia,54.1,sportingpedia
South Africa,45.8,sportingpedia
Australia,41.25,sportingpedia
Uzbekistan,40,estimated
Iran,35,estimated
Panama,34.83,sportingpedia
New Zealand,30,estimated
Haiti,30,estimated
Curaçao,28,estimated
Cape Verde,25,estimated
Iraq,23,estimated
Saudi Arabia,22,estimated
Qatar,19.93,sportingpedia
Jordan,19.83,sportingpedia
