date,home_team,away_team,home_score,away_score
2026-06-25,United States,Turkey,2,3
2026-06-25,Paraguay,Australia,0,0
2026-06-25,Curaçao,Ivory Coast,0,2
2026-06-25,Ecuador,Germany,2,1
2026-06-25,Japan,Sweden,1,1
2026-06-25,Tunisia,Netherlands,1,3
2026-06-26,Norway,France,1,4
2026-06-26,Uruguay,Spain,0,1
2026-06-26,Senegal,Iraq,5,0
2026-06-26,New Zealand,Belgium,1,5
2026-06-26,Egypt,Iran,1,1
2026-06-26,Cape Verde,Saudi Arabia,0,0
2026-06-27,Algeria,Austria,3,3
2026-06-27,Jordan,Argentina,1,3
2026-06-27,Colombia,Portugal,0,0
2026-06-27,DR Congo,Uzbekistan,3,1
2026-06-27,Panama,England,0,2
2026-06-27,Croatia,Ghana,2,1
2026-06-28,South Africa,Canada,0,1
2026-06-29,Netherlands,Morocco,1,1
2026-06-29,Brazil,Japan,2,1
2026-06-29,Germany,Paraguay,1,1
2026-06-30,France,Sweden,3,0
2026-06-30,Mexico,Ecuador,2,0
2026-06-30,Ivory Coast,Norway,1,2
2026-07-01,England,DR Congo,2,1
2026-07-01,Belgium,Senegal,3,2
2026-07-01,United States,Bosnia and Herzegovina,2,0
2026-07-02,Spain,Austria,3,0
2026-07-02,Portugal,Croatia,2,1
2026-07-02,Switzerland,Algeria,2,0
2026-07-03,Australia,Egypt,1,1
2026-07-03,Argentina,Cape Verde,3,2
2026-07-03,Colombia,Ghana,1,0
2026-07-04,Paraguay,France,0,1
2026-07-04,Canada,Morocco,0,3
2026-07-05,Mexico,England,2,3
2026-07-05,Brazil,Norway,1,2
2026-07-06,Portugal,Spain,0,1
2026-07-06,United States,Belgium,1,4
2026-07-07,Argentina,Egypt,3,2
2026-07-07,Switzerland,Colombia,0,0
2026-07-09,France,Morocco,2,0
2026-07-10,Spain,Belgium,2,1
2026-07-11,Norway,England,1,2
2026-07-11,Argentina,Switzerland,3,1
2026-07-14,France,Spain,0,2
2026-07-15,England,Argentina,1,2
2026-07-18,France,England,4,6
2026-07-19,Spain,Argentina,1,0
